#NAME,SYMBOL,OLD SYMBOL
Nasdaq Asia Industrials Large Mid Cap JPY NTR Index,NQASIA50LMJPYN,NQASIA2000LMJPYN
Nasdaq Asia Industrials Large Mid Cap JPY TR Index,NQASIA50LMJPYT,NQASIA2000LMJPYT
Nasdaq Asia Industrials Large Mid Cap NTR Index,NQASIA50LMN,NQASIA2000LMN
Nasdaq Asia Industrials Large Mid Cap TR Index,NQASIA50LMT,NQASIA2000LMT
Nasdaq Asia Industrials NTR Index,NQASIA50N,NQASIA2000N
Nasdaq Asia Industrials TR Index,NQASIA50T,NQASIA2000T
Nasdaq Asia Real Estate AUD Index,NQASIA35AUD,
Nasdaq Asia Real Estate AUD NTR Index,NQASIA35AUDN,
Nasdaq Asia Real Estate AUD TR Index,NQASIA35AUDT,
Nasdaq Asia Real Estate CAD Index,NQASIA35CAD,
Nasdaq Asia Real Estate CAD NTR Index,NQASIA35CADN,
Nasdaq Asia Real Estate CAD TR Index,NQASIA35CADT,
Nasdaq Asia Real Estate EUR Index,NQASIA35EUR,
Nasdaq Asia Real Estate EUR NTR Index,NQASIA35EURN,
Nasdaq Asia Real Estate EUR TR Index,NQASIA35EURT,
Nasdaq Asia Real Estate GBP Index,NQASIA35GBP,
Nasdaq Asia Real Estate GBP NTR Index,NQASIA35GBPN,
Nasdaq Asia Real Estate GBP TR Index,NQASIA35GBPT,
Nasdaq Asia Real Estate Index,NQASIA35,
Nasdaq Asia Real Estate JPY Index,NQASIA35JPY,
Nasdaq Asia Real Estate JPY NTR Index,NQASIA35JPYN,
Nasdaq Asia Real Estate JPY TR Index,NQASIA35JPYT,
Nasdaq Asia Real Estate Large Mid Cap AUD Index,NQASIA35LMAUD,
Nasdaq Asia Real Estate Large Mid Cap AUD NTR Index,NQASIA35LMAUDN,
Nasdaq Asia Real Estate Large Mid Cap AUD TR Index,NQASIA35LMAUDT,
Nasdaq Asia Real Estate Large Mid Cap CAD Index,NQASIA35LMCAD,
Nasdaq Asia Real Estate Large Mid Cap CAD NTR Index,NQASIA35LMCADN,
Nasdaq Asia Real Estate Large Mid Cap CAD TR Index,NQASIA35LMCADT,
Nasdaq Asia Real Estate Large Mid Cap EUR Index,NQASIA35LMEUR,
Nasdaq Asia Real Estate Large Mid Cap EUR NTR Index,NQASIA35LMEURN,
Nasdaq Asia Real Estate Large Mid Cap EUR TR Index,NQASIA35LMEURT,
Nasdaq Asia Real Estate Large Mid Cap GBP Index,NQASIA35LMGBP,
Nasdaq Asia Real Estate Large Mid Cap GBP NTR Index,NQASIA35LMGBPN,
Nasdaq Asia Real Estate Large Mid Cap GBP TR Index,NQASIA35LMGBPT,
Nasdaq Asia Real Estate Large Mid Cap Index,NQASIA35LM,
Nasdaq Asia Real Estate Large Mid Cap JPY Index,NQASIA35LMJPY,
Nasdaq Asia Real Estate Large Mid Cap JPY NTR Index,NQASIA35LMJPYN,
Nasdaq Asia Real Estate Large Mid Cap JPY TR Index,NQASIA35LMJPYT,
Nasdaq Asia Real Estate Large Mid Cap NTR Index,NQASIA35LMN,
Nasdaq Asia Real Estate Large Mid Cap TR Index,NQASIA35LMT,
Nasdaq Asia Real Estate NTR Index,NQASIA35N,
Nasdaq Asia Real Estate TR Index,NQASIA35T,
Nasdaq Asia Technology AUD Index,NQASIA10AUD,NQASIA9000AUD
Nasdaq Asia Technology AUD NTR Index,NQASIA10AUDN,NQASIA9000AUDN
Nasdaq Asia Technology AUD TR Index,NQASIA10AUDT,NQASIA9000AUDT
Nasdaq Asia Technology CAD Index,NQASIA10CAD,NQASIA9000CAD
